0.61989,0.31687,-0.018552,0.34568,-0.015042,-0.017465
0.69662,0.85211,0.58958,0.55457,0.38465,0.41555
0.85082,0.66514,0.54484,0.098979,0.029108,-0.20409
0.38055,0.51542,0.56759,0.7645,0.39243,0.44581
0.63459,0.87008,0.73425,0.77578,0.1399,0.45018
0.59178,0.039263,0.42085,0.44977,0.23053,0.44142
0.89934,0.60396,0.47763,0.53495,0.31728,0.15646
0.86912,0.34896,0.63972,0.78188,0.19289,0.32032
0.307,0.23744,0.15563,0.0091014,0.16395,0.23077
0.65785,0.87811,0.57532,0.47541,0.17864,0.11916
0.67695,0.31625,0.34229,0.2484,-0.024595,0.45439
1.0758,0.84348,0.77559,0.77726,0.43178,0.22405
0.88032,1.0357,0.81284,0.86825,0.35793,0.41889
