1.0023,0.6563,0.18209,0.31094,-0.038336,0.0045674
0.6839,0.76478,0.38269,0.038422,0.40762,0.32959
0.80511,0.79917,0.84874,0.3107,0.43995,-0.044617
0.5359,0.41758,0.12263,0.45688,0.3739,0.41713
0.87548,1.0392,1.044,0.74646,0.44642,0.48149
0.68334,0.064825,0.52197,0.38328,0.26148,0.26179
0.58445,0.64582,0.43392,0.35701,0.40002,0.24414
0.88055,0.75125,0.64217,0.14388,0.0098485,0.26741
0.50164,0.43684,0.69996,0.098079,-0.014238,0.24866
0.57986,0.75692,0.6797,0.58417,0.34853,0.14259
0.61835,0.37123,0.61812,0.39753,0.14604,0.4329
0.96587,0.84334,0.84173,0.55442,0.20316,0.40323
0.79507,0.57705,0.60887,0.70357,0.083749,0.01499
