0.22811,0.0017404,0.20425,0.17308,0.067462,-0.32041
0.21597,0.4839,0.38081,0.4098,0.37474,0.20913
0.25375,0.11998,0.27315,-0.037389,-0.045561,0.23116
0.11228,0.43964,0.17182,0.068496,0.013915,0.13055
0.42975,0.643,0.5429,0.75242,0.39945,0.44111
0.15019,0.088829,-0.10306,0.11857,-0.018126,0.30152
0.55308,0.10427,0.26868,0.41189,0.28179,-0.057299
0.27267,0.095315,0.18245,0.49122,0.21092,0.30209
-0.008615,0.13879,0.066134,-0.10533,0.058911,-0.036257
0.12454,0.086808,0.061811,-0.21708,0.1196,-0.039825
0.11781,0.33989,0.1102,0.10639,0.13524,0.18751
0.15682,0.46178,0.32911,0.25307,0.26775,0.45685
-0.027741,0.19565,0.52832,0.48178,0.051589,0.14455
